name,category,country,city,genre,stream_url,logo_url,source_url,language,stationuuid,countrycode
Antena Sul FM 102.7,Nacionais • Pop,Brasil,,,https://5a2b083e9f360.streamlock.net/antenasulfmhd/antenasulfmhd.stream/playlist.m3u8,https://www.antenasulfm.com.br/public/10668-2024-04-18.png,https://www.antenasulfm.com.br/,,,
antena1,Nacionais • Pop,Brasil,Sao Paulo (Brazil),,https://antenaone.crossradio.com.br/stream/2;,https://www.antena1.com.br/apple-touch-icon.png,https://www.antena1.com.br/,,,
BailãoHits,Nacionais • Pop,Brasil,Sao Paulo (Brazil),Pop,https://jpradios.com.br/stream/bailaohits,,https://jpradios.com.br/public/bailaohits,,,
BONS TEMPOS FM,Nacionais • Pop,Brasil,SP,classic hits,https://stm7.xradios.com.br:6888/,,https://www.webradiobonstempos.com/,,,
"CBN 104,5 FM Maceió",Nacionais • Pop,Brasil,Alagoas,"esportes,jornalismo(all news),popular",http://v3.directradios.com:8229/stream,http://play.radios.com.br/22234,http://www.sistemacorreioderadio.com.br/,,,
Cidade FM NET,Nacionais • Pop,Brasil,,pop,https://08.stmip.net:8718/live,https://drive.google.com/file/d/1OzJ516f0pWQWeWlNl6OE-_rIhSz0LwRy/view?usp=drivesdk,https://www.cidadrfmnet.com.br/,,,
Circus Radio,Nacionais • Pop,Brasil,,"70s,80s,90s,classic hits,oldies",http://radio.rpointernet.com.br:5788/;,,http://www.circusradio.com/,,,
Clube FM 99.1,Nacionais • Pop,Brasil,Brasília,"hits,pop,popular",https://radio.saopaulo01.com.br:10913/stream,,http://www.clubepe.fm/,,,
Conecta FM - Campinas,Nacionais • Pop,Brasil,,pop music,https://paineldj6.com.br:20175/stream,https://static.tudoradio.com/ins/w:120/plain/https://tudoradio.com/img/uploads/radios/652af48300568.pn,https://fmconecta.com.br/,,,
Cultura FM 95.1 Mhz (Uberlândia - MG) (ZYC697),Nacionais • Pop,Brasil,Minas Gerais,"brazilian music,miscellaneous,popular music",https://8040.brasilstream.com.br/stream,,https://radioculturafm.com.br/,,,
Cultural FM,Nacionais • Pop,Brasil,,"brazilian music,hits,pop",http://02.stmip.net:8096/;,http://culturalfm.com.br/img/logo.png?1741492967,http://culturalfm.com.br/,,,
Dance Anos 90,Nacionais • Pop,Brasil,,"dance,eurodance",https://stream-287.zeno.fm/zx9h2b61u8quv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ6eDloMmI2MXU4cXV2IiwiaG9zdCI6InN0cmVhbS0yODcuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6ImtUTWJsSE92UnBTNmtGRUdaT0tBTUEiLCJpYXQiOjE3ODA4NDA3MDksImV4cCI6MTc4MDg0MDc2OX0.w-KBUIindPPLSOWSnMDAIu55KHYX49uU-jcuGgS9s1w,,https://danceanos90euro.weebly.com/,,,
"Difusora 93,3 FM Maceió",Nacionais • Pop,Brasil,Alagoas,"jornalismo,popular",https://radio.saopaulo01.com.br/9348/stream,https://www.radios.com.br/aovivo/radio-difusora-933-fm/13036,http://www.izp.al.gov.br/,,,
Difusora Jundiaí,Nacionais • Pop,Brasil,São Paulo,popular,http://shout35.crossradio.com.br:8112/stream?1653871122262,,https://www.jj.com.br/,,,
"Educativa Inatel - 107,9 FM",Nacionais • Pop,Brasil,Minas Gerais,"adult contemporary,classic hits",https://educativainatel.radioca.st/stream,,https://inatel.br/radio/,,,
Emilio Prime,Nacionais • Pop,Brasil,,pop,http://sv13.hdradios.net:7194/,,https://www.radioemilioprime.webradios.net/,,,
EP FM Araraquara,Nacionais • Pop,Brasil,,pop,https://8345.brasilstream.com.br/stream?rand=dITCD,https://www.epfm.com.br/img/logo.svg,https://www.epfm.com.br/,,,
Estação POP,Nacionais • Pop,Brasil,MG,,https://s46.hstbr.net:8026/live?id=1530746592431,,http://radioestacaopop.com/,,,
"Francês FM 106,1 Maceió",Nacionais • Pop,Brasil,Alagoas,"eclética,popular",https://26643.live.streamtheworld.com/FRANCESFM_MACAAC.aac?dist=RadiosNet,https://www.radios.com.br/aovivo/radio-frances-1061-fm/214571,https://francesfm.com/,,,
"Gazeta FM 94,1 Maceió",Nacionais • Pop,Brasil,Alagoas,"eclética,popular",https://www.appradio.app:8061/stream,https://www.radios.com.br/aovivo/radio-gazeta-941-fm/13291,http://www.gazetafmmaceio.com.br/,,,
GFM Salvador Bahia FM 90.1,Nacionais • Pop,Brasil,Bahia,"adult contemporary,brazilian music,classic hits",https://ice.fabricahost.com.br/radiogfm,https://cdn-profiles.tunein.com/s5998/images/logod.png,https://mytuner-radio.com/pt/radio/gfm-salvador-402269/,,,
Hot Mix 94.9 FM,Nacionais • Pop,Brasil,São Paulo (SP),hits,https://stm17.xcast.com.br:10908/stream?type=http,https://hotmixfm.com.br/wp-content/uploads/2025/02/cropped-logoLogin-1-32x32.png,https://hotmixfm.com.br/,,,
Hunter.FM - O Canal Pop,Nacionais • Pop,Brasil,São Paulo,Pop,https://live.hunter.fm/pop_normal,https://hunter.fm/images/icon-logo-default.png,https://hunter.fm/,,,
Ilha do Mel FM,Nacionais • Pop,Brasil,Paraná(Brazil),"local news,pop,sports",https://str1.streamhostpg.com.br:8002/stream,https://ilhadomelfm.com.br/wp-content/uploads/2023/05/cropped-icon-ilhadomel-32x32.jpg,https://ilhadomelfm.com.br/,,,
"Jangadeiro 88,9 FM",Nacionais • Pop,Brasil,"Fortaleza, Ceará","eclética,música popular mexicana",https://stream.zeno.fm/xuh02vfzurhvv,https://www.radios.com.br/aovivo/radio-jangadeiro-889-fm/13520,https://jangadeirofm.com.br/,,,
Jovem Pan BH,Nacionais • Pop,Brasil,Minas Gerais,"entertainment,music,pop",https://8062.brasilstream.com.br/mp3,https://jpimg.com.br/uploads/2024/02/avatar-belo-horizonte-rgb-500x500.png,https://jovempan.com.br/afiliada/bh-fm,,,
Jovem Pan Florianópolis,Nacionais • Pop,Brasil,Santa Catarina,"hits,international,local music,music,world music",http://wz5.dnip.com.br/jfloripa/jfloripa.stream/chunklist_w2047482307.m3u8,,http://panfloripa.com.br/,,,
Jovem Pan FM - Passo Fundo - RS,Nacionais • Pop,Brasil,Rio Grande do Sul,"80s,90s,music,pop",https://radio.saopaulo01.com.br:10937/aac,,https://jovempan.com.br/afiliada/passo-fundo-fm,,,
"LEMIXX - BEST FUNK & GROOVE CLASSICS & RARE DISCO, R&B, 80s OLD SCHOOL DANCE",Nacionais • Pop,Brasil,,"funk,groove,old school dance,rare disco",http://centova6.ciclanohost.com.br:9428/stream2,https://www.facebook.com/photo/?fbid=212694897771018&set=a.212694874437687,https://www.facebook.com/people/-LEMIXX-Best-Funk-Groove-Radio-/100070915262093/,,,
Maresol web radio,Nacionais • Pop,Brasil,Aracajú,pop music,https://stream.zeno.fm/pxbrdor4opmvv,,https://www.radiomaresol.com.br/,,,
MGT BRASIL HITS,Nacionais • Pop,Brasil,Brasil,"brasil,hits,mgt,nacionais,sucessos",https://cast.mgtradio.net/radio/8030/aac,https://www.mgtradio.net/favicon.ico,https://www.mgtradio.net/,,,
MGT DANCE HITS,Nacionais • Pop,Brasil,Brasil,dance hits,https://cast.mgtradio.net/radio/8080/aac,,https://www.mgtradio.net/,,,
MGT LOVE HITS,Nacionais • Pop,Brasil,Brasil,"hits,love,love hits,mgt",https://cast.mgtradio.net/radio/8010/aac,https://www.mgtradio.net/images/ouvir-radio-online.png,https://www.mgtradio.net/,,,
"Mix Rio 102.1 Rio de Janeiro, RJ",Nacionais • Pop,Brasil,Rio de Janeiro,"brazilian pop,rio de janeiro,top 40",http://26563.live.streamtheworld.com:3690/MIXRIOAAC_SC,,http://mixriofm.uol.com.br/,,,
MPX Web Rádio 2,Nacionais • Pop,Brasil,Sergipe,"club dance electronic house trance,drum 'n' bass,dubstep,eurodance,hi-res,high bitrate",https://streaming.mpxwebradio.com/listen/mpxdancemix/256k,https://mpxwebradio.com/wp-content/uploads/2021/02/DANCEMIX.png,https://mpxwebradio.com/dancemix,,,
"Nossa FM 105,9",Nacionais • Pop,Brasil,"Patos de Minas, MG","pop,variedades",https://audiostream.i9suaradio.com:1195/stream,https://nossafm105.com/apple-touch-icon.png,https://nossafm105.com/,,,
"Nova Brasil 106,5 FM Maceió",Nacionais • Pop,Brasil,Alagoas,"adult contemporary,contemporary hits,mpb",https://26643.live.streamtheworld.com/NOVABRASIL_MACAAC.aac?dist=RadiosNet,https://www.radios.com.br/aovivo/radio-nova-brasil-1065-fm/124924,https://novabrasilfm.com.br/,,,
Nova Brasil FM 93.5 Aracaju,Nacionais • Pop,Brasil,Sergipe,"aracaju,brazilian pop,mpb",http://27393.live.streamtheworld.com/NOVABRASIL_ARACAJUAAC_SC,,http://aracaju.novabrasilfm.com.br/,,,
"Nova Brasil FM Brasília, DF (ZYC476, 97,5 MHz)",Nacionais • Pop,Brasil,Distrito Federal,"brasilia,brazilian music,brazilian pop,mpb",http://27393.live.streamtheworld.com/NOVABRASIL_BSBAAC_SC,http://brasilia.novabrasilfm.com.br/images/apple-touch-icon.png?1725267621,http://brasilia.novabrasilfm.com.br/,,,
"Novabrasil FM Fortaleza, CE",Nacionais • Pop,Brasil,"Fortaleza, Ceará","brasil,brasileira,brazilian,brazilian music,local news,mpb,música popular brasileira,notícias",https://playerservices.streamtheworld.com/api/livestream-redirect/NOVABRASIL_FORAAC.aac,https://novabrasilfm.com.br/app/uploads/2025/03/cropped-favicon-1-180x180.png,https://novabrasilfm.com.br/,,,
"Pajuçara FM 103,7 Maceió",Nacionais • Pop,Brasil,Alagoas,"eclética,popular",https://cast3.hoost.com.br:8679/stream,https://www.radios.com.br/aovivo/radio-pajucara-1037-fm/14126,https://www.tnh1.com.br/103/,,,
"Penedo FM 97,3",Nacionais • Pop,Brasil,Alagoas,"hits,popular",https://stm16.painelcast.com:7206/stream,https://www.radios.com.br/aovivo/radio-penedo-973-fm/14134,http://www.penedofm.com.br/,,,
Pool FM,Nacionais • Pop,Brasil,,"1970s,1980s,70s,70s dance,70s disco,80s,80s dance,80s disco,dance,funk,pool beach bar,poolside,rare groove",https://radios.poolwebwork.com.br/8010/stream,https://www.poolfm.com.br/wp-content/uploads/2017/01/pool-fm_600x600.png,https://www.poolfm.com.br/,,,
POP MUSIC l Radio RighRise (Compre sua Radio - Instagram:@jpdofunk.ofc),Nacionais • Pop,Brasil,São Paulo (SP),Pop,https://jpdofunk3.com.br:8070/stream,,https://jpdofunk3.com.br/public/server0234,,,
Positividade FM,Nacionais • Pop,Brasil,Rio de Janeiro,"adult contemporary,música pop,pop",https://27573.live.streamtheworld.com/POSITIVIDADE_FM_SC,https://positividade.fm/wp-content/uploads/2022/04/positividade-fm.png,https://positividade.fm/,,,
Premium FM 94.7 MHz Muriaé MG,Nacionais • Pop,Brasil,Minas Gerais,classic hits,https://live.paineldj.com.br/proxy/premiumfm?mp=/stream,https://premiumfm.com.br/wp-content/uploads/2022/06/premium-azul.png,https://www.premiumfm.com.br/,,,
"R.VALE VERDE FM 96,66",Nacionais • Pop,Brasil,,pop,https://ice.fabricahost.com.br/valeverdefm,https://valeverdefm.com.br/img/b1477f6674fb80a945ea178ecb46e51c.png,https://www.valeverdefm.com.br/,,,
Radio ABR Music,Nacionais • Pop,Brasil,,pop,http://r11.ciclano.io:9191/stream,,https://abrmusic.com.br/,,,
Radio Animu [MP3 192Kbps],Nacionais • Pop,Brasil,Santa Cruz do Capibaribe - Pernambuco,"anime,anime endings,anime openings,game,japonese anime soundtracks,jpop,song requests,vgm ost",https://stream.animu.moe/192,https://www.animu.moe/wp-content/uploads/2021/10/cropped-cropped-cropped-cropped-Logo-nova-com-slogan-1-189x69.webp,https://www.animu.moe/,,,
Radio Animu [MP3 320Kbps],Nacionais • Pop,Brasil,,"anime,anime openings,japanese anime soundtracks game jpop vgm ost,song requests",https://stream.animu.moe/320,https://animu.moe/favicon.ico,https://animu.moe/,,,
Radio Espinharas,Nacionais • Pop,Brasil,Paraiba,popular,https://radio.saopaulo01.com.br:10843/stream,https://www.radioespinharas.com.br/imagens/logo.svg,https://www.radioespinharas.com.br/,,,
Radio Hot 97.7,Nacionais • Pop,Brasil,,"brazilian music,hits,pop",http://servidor23.brlogic.com:7782/autodj,,http://hot107.com.br/,,,
"Radio Ilha FM 107,1",Nacionais • Pop,Brasil,,pop,https://casthttps.suaradionanet.net/13325/stream,,https://www.ilhafm.com.br/,,,
Radio Ipiranga,Nacionais • Pop,Brasil,,pop,http://r11.ciclano.io:9173/stream,,https://radioipiranga.com.br/,,,
Radio Jandaia,Nacionais • Pop,Brasil,,"hits,pop,top40",https://euroticast.com/play.php?play=8444&player=winamp,https://radiojandaia.com.br/favicon.ico,https://radiojandaia.com.br/,,,
Radio Lider FM,Nacionais • Pop,Brasil,,hits,http://r11.ciclano.io:9047/stream,,http://radioliderfm.com.br/,,,
Radio Nova Brasil,Nacionais • Pop,Brasil,,pop,http://r11.ciclano.io:9134/stream,,https://novabrasilfm.com.br/,,,
Radio Paiquerê,Nacionais • Pop,Brasil,"Londrina, Paraná","news,pop",https://ice.fabricahost.com.br/paiquere917,https://www.paiquere.com.br/wp-content/uploads/2024/02/fav.jpeg#170,https://www.paiquere.com.br/,,,
Radio Planetario FM,Nacionais • Pop,Brasil,,hits,http://r11.ciclano.io:9038/stream,,http://radioplanetario.com.br/,,,
Radio Taquara,Nacionais • Pop,Brasil,,hits,http://r13.ciclano.io:8165/stream,,https://www.radiotaquara.com.br/,,,
Rádio Antena 1 88.3 FM,Nacionais • Pop,Brasil,Sao Paulo,"adult,classic hip hop,flashback",https://antenaone.crossradio.com.br/stream/1;,https://img.radios.com.br/radio/lg/radio9510_1699537216.jpg,http://www.antena1sorocaba.com.br/,,,
Rádio Apolo 98.1 FM,Nacionais • Pop,Brasil,Sao Paulo,"adult,classic hits,pop",https://server3.dacsolution.com.br/98.1/player/,https://img.radios.com.br/radio/lg/radio240886_1722248014.jpg,https://radioapolo.com.br/,,,
Rádio Arapuan 98.9 FM,Nacionais • Pop,Brasil,Paraiba,"eclética,hits",https://streaming.engelhosting.com.br:10036/stream,https://www.arapuanfm.com.br/2023/images/site/logo.png,https://www.arapuanfm.com.br/2023/,,,
Rádio Band FM 96.1 FM,Nacionais • Pop,Brasil,Sao Paulo,pop,https://playerservices.streamtheworld.com/api/livestream-redirect/BANDFM_SPAAC,https://img.radios.com.br/radio/lg/radio10358_1526480428.jpg,https://www.band.uol.com.br/band-fm,,,
Rádio Boa 94.1 Fm Alagoinhas,Nacionais • Pop,Brasil,Bahia,"eclética,popular",https://cast.radiu.live:9304/stream,https://img.radios.com.br/radio/lg/radio44545_1717055586.jpg,https://www.instagram.com/boafmalagoinhas,,,
Rádio Caverá FM 87.9,Nacionais • Pop,Brasil,Rio Grande do Sul,"nativista,pop",https://s05.maxcast.com.br:8012/live?id=692006007223,,https://www.radiocavera.com/,,,
Rádio CBN Vale 750 AM,Nacionais • Pop,Brasil,Sao Paulo,"journalism,popular",https://8018.brasilstream.com.br/stream,https://img.radios.com.br/radio/lg/radio14459_1605727774.png,https://www.cbnvale.com.br/,,,
Rádio Cidade 94.3 FM Natal RN,Nacionais • Pop,Brasil,Rio,"local news,mpb,pop music",https://cidadedosolaac.jmvstream.com/stream?1732978147095,https://img.radios.com.br/radio/lg/radio11453_1528207582.jpg,https://www.radios.com.br/aovivo/radio-cidade-943-fm/11453,,,
Rádio Colméia 98.7 FM,Nacionais • Pop,Brasil,MG,"católica,popular",https://stm04.virtualcast.com.br:8024/colmeiamaringa?1771884660703,,http://www.colmeiafm.com.br/,,,
Rádio Comunitária Aconchego,Nacionais • Pop,Brasil,Pernambuco,"autonomia, tecnologica,comunitaria,engenho do meio,livre,popular,recife,roda de fogo,saúde integral,serviço integrado de saúde,sitio das palmeiras,torrões",https://fm.radioaconchego.org,https://radioaconchego.org/files/2015/03/cropped-cropped-5617042203_961643d1a0_o-180x180.jpg,https://radioaconchego.org/,,,
Rádio Cordeiro,Nacionais • Pop,Brasil,Pernambuco,pop music,https://stm7.painelcast.com:7590/stream,https://cordeiroplasticos.com.br/cordeiro1.png,https://toligado.net.br/,,,
Rádio Cultura Rio Grande,Nacionais • Pop,Brasil,Rio Grande do Sul,"esportes futebol,musica popular",https://casthttps.suaradionanet.net/10402/stream,https://manager.suaradionanet.net/storage/radios/culturaam/site_basic/64f0b1dde9a5c3.82638254.png,https://radioculturariograndina.com.br/,,,
Rádio CV Mais 97.5 FM,Nacionais • Pop,Brasil,"Piauí ,Teresina","hits,popular",https://ssl1.transmissaodigital.com:20098/;?1771932556038,https://img.radios.com.br/radio/lg/radio157979_1628521296.jpeg,http://www.cvmais.com/,,,
Rádio Dance Music Anos 2000,Nacionais • Pop,Brasil,Sao Paulo (Brazil),"00s,dance,edm,electronic,techno,trance",https://cloud1.cdnseguro.com:2190/;,https://gerador.cdnseguro.com/uploads/a47db5e2840d0a3d0a6280c0356bf1e2-1613775519.jpg,https://www.dancemusic2000.com/,,,
Rádio FM O Dia 99.7 FM,Nacionais • Pop,Brasil,Rio de Janeiro,"popular,samba pagode",https://wz7.servidoresbrasil.com:8274/stream,https://img.radios.com.br/radio/lg/radio229211_1706128532.jpeg,https://macae.fmodia.com.br/,,,
Rádio Furacão 2000,Nacionais • Pop,Brasil,Rio de Janeiro,"brazilian pop,dance",https://servidor24-1.brlogic.com:7516/live?source=website,https://public-rf-upload.minhawebradio.net/111279/mobileicon/d5b82a5ec287583c0d89eaa8726c323fx192.png,https://www.radiofuracao2000.com/,,,
Rádio Gazeta 107.9 FM,Nacionais • Pop,Brasil,Rio Grande do Sul,popular,https://hts03.brascast.com:7106/stream,https://minhawebradio.com/contents/27618/cover/xmc7c8d48f71c92a5ccd49551c95eb3301_27618_1767815709.png,http://www.rdgazeta.com.br/,,,
Rádio Globo 98.1 FM,Nacionais • Pop,Brasil,Rio de Janeiro,"discussions,interviews,popular,sports",https://24493.live.streamtheworld.com:443/RADIO_GLOBO_RJAAC.aac?dist=radioscombr,https://img.radios.com.br/radio/lg/radio8817_1676300226.png,https://radioglobo.globo.com/,,,
Rádio Hits 106.9 FM,Nacionais • Pop,Brasil,RJ,"adulta,flashback,mpb",https://wz7.servidoresbrasil.com:9984/stream?1771864365030,https://img.radios.com.br/radio/lg/radio80135_1691636703.png,https://redehits.fm/,,,
Rádio Hits 87.9 FM,Nacionais • Pop,Brasil,MG,community radio,https://stm24.srvaudio.com.br:10082/stream?1771863883280,https://img.radios.com.br/radio/lg/radio68243_1524591330.png,http://www.hitsfmbetim.com.br/,,,
Rádio Itatiunga 102.9 FM,Nacionais • Pop,Brasil,Paraiba,"eclética,hits",https://str1.streamhostpg.com.br:8100/stream,https://img.radios.com.br/radio/lg/radio13341_1495981602.jpg,http://www.102fmpatos.com.br/,,,
Rádio Joli MPB,Nacionais • Pop,Brasil,São Paulo,"adult contemporary,mpb,música popular brasileira",http://stream.zeno.fm/mrutsyhkc3quv,https://img.radios.com.br/radio/lg/radio112934_1562066435.png,https://zeno.fm/jolimpb,,,
"Rádio jovem pan 107,3 FM Varginha",Nacionais • Pop,Brasil,Minas Gerais Brasil,"jovem,top 40",https://server01.ouvir.radio.br:8042/stream,https://tunein.com/radio/Jovem-Pan-FM-1073-s158405/?hl=pt-BR,https://jovempan.com.br/afiliada/varginha-fm/,,,
Rádio Liderança FM,Nacionais • Pop,Brasil,Fortaleza,"good news | good sound | good life,pop",https://webradio.amsolution.com.br/radio/8320/lideranca,http://radiolideranca.com.br/wp-content/uploads/2017/05/lideranca-350x100.png,https://radiolideranca.com.br/,,,
Rádio Mega FM Sananduva,Nacionais • Pop,Brasil,Rio Grande do Sul,pop,https://live.virtualcast.com.br/megasananduva,https://www.megafmrs.com.br/assets/imagens/favicon.ico,https://www.megafmrs.com.br/,,,
Rádio Metropolitana 98.5 FM Pop,Nacionais • Pop,Brasil,São Paulo,Pop,https://ice.fabricahost.com.br/metrosppop,https://metropolitanafm.com.br/wp-content/themes/metro/assets/imgs/favicon/favicon-96x96-2.png,https://metropolitanafm.com.br/,,,
Rádio Pirafm,Nacionais • Pop,Brasil,,pop,http://stream.zeno.fm/zyvh88ftvxhvv,,https://sites.google.com/view/radio-pirafm/in%C3%ADcio,,,
Rádio Rio Preto Internet,Nacionais • Pop,Brasil,São Paulo,"70 80 hits,90's,adult contemporary,oldies,pop",http://stm3.painelcast.com:7006/,https://img1.wsimg.com/isteam/ip/6f1d2653-b246-41b5-a567-81f3d7deef16/favicon/0a09de53-7d5e-42f3-8d7c-61e5c575a688.png,https://radioriopreto.com.br/,,,
Rádio Santa Fé do Sul,Nacionais • Pop,Brasil,São Paulo,"70 80 hits,90's,adult contemporary,oldies,pop",http://stm12.painelcast.com:7480/,https://img1.wsimg.com/isteam/ip/6f1d2653-b246-41b5-a567-81f3d7deef16/favicon/0a09de53-7d5e-42f3-8d7c-61e5c575a688.png,https://radiosantafedosul.com.br/,,,
Rádio Saudade FM 99.7,Nacionais • Pop,Brasil,"Santos, Sao Paulo (Brazil)","adult,classic hits,flashback",https://playerservices.streamtheworld.com/api/livestream-redirect/SAUDADE_FMAAC.aac,https://img.radios.com.br/radio/lg/radio8_1626274312.png,https://www.saudadefm.com.br/,,,
Rádio Sociedade News FM 102.1 Feira de Santana,Nacionais • Pop,Brasil,Bahia,"news,pop",https://stream.zenolive.com/t799cry0yv8uv,https://cdn.onlineradiobox.com/img/l/1/43031.v6.png,http://sociedadenewsfm.com.br/,,,
Rádio Transamérica Hits (Barreiras),Nacionais • Pop,Brasil,Barreiras,brazilian pop,http://servidor39.brlogic.com:8146/live,,http://www.radiotransamerica.com.br/hits/barreiras,,,
Rádio Viva 106.7 FM,Nacionais • Pop,Brasil,Sao Paulo (Brazil),"aracatuba,araçatuba,cultura am,eclética,futebol,popular,ronda policial",http://stm51.conectastm.com:11314/stream,https://img.radios.com.br/radio/lg/radio11337_1656340351.jpg,https://vivafm106.com.br/,,,
RÁDIO WEB LUNA,Nacionais • Pop,Brasil,Ceará,"eclectic programming,popular music",https://stream-178.zeno.fm/1qxe7gsah0hvv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiIxcXhlN2dzYWgwaHZ2IiwiaG9zdCI6InN0cmVhbS0xNzguemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoic013T1M0aVNTRGFIVWZabGJ5alg0QSIsImlhdCI6MTc2ODQ0MTA5OSwiZXhwIjoxNzY4NDQxMTU5fQ.Y-A5wkX8cAfUdQ9nLc5Wib9PyogjN7ha7lBo18H4T_w,,https://zeno.fm/radio/radio-web-luna-tv-87-9-fm/,,,
Rádio Ziggy - MIX (MP3),Nacionais • Pop,Brasil,Minas Gerais,"brazilian music,pop",http://stream.zeno.fm/h0bbyx9fzs8uv,https://i.ibb.co/xK4z5ZLr/80505-v11.png,https://ziggywebradio.wixsite.com/radioziggy,,,
Rádio Ziggy - MPB (MP3),Nacionais • Pop,Brasil,Minas Gerais,"brazilian music,pop",http://stream.zeno.fm/g5xt330zkd0uv,https://i.ibb.co/yFSBcW2p/85253-v3.png,https://ziggywebradio.wixsite.com/radioziggy,,,
Rádio Ótima 89.1 FM,Nacionais • Pop,Brasil,Sao Paulo (Brazil),"hits,popular",https://f108.fabricahost.com.br/otimafm891?f=1768437175N01KEZH3NEF9QXY6TAT9WJ3VS5D&tid=01KEZH3NEF5YQV674YKSCWC9NN,https://img.radios.com.br/radio/lg/radio39929_1646778380.jpeg,https://otimafm.com.br/,,,
Rádio Ótima 90.3 FM,Nacionais • Pop,Brasil,Sao Paulo (Brazil),"hits,popular",https://ice.fabricahost.com.br/otimafm903,https://img.radios.com.br/radio/lg/radio27258_1646778302.png,https://www.otimafm.com.br/,,,
Rádio Ótima 95.5 FM,Nacionais • Pop,Brasil,Sao Paulo (Brazil),"hits,popular",https://ice.fabricahost.com.br/otimafm955,https://img.radios.com.br/radio/lg/radio13788_1646778590.png,https://www.otimafm.com.br/,,,
"Santa Bárbara FM 95,9",Nacionais • Pop,Brasil,,pop,https://servidor36-4.brlogic.com:8474/live,https://public-rf-upload.minhawebradio.net/39758/mobileicon/636ee3ceb43dc23b3c32ad3f1a83cb34x192.png,https://santabarbarafm.com/,,,
Sensação FM 105.5 Mhz (Rio Pomba - MG) (ZYN228),Nacionais • Pop,Brasil,Minas Gerais,"miscellaneous,popular music",https://sv10.hdradios.net:8226/stream,https://img.radios.com.br/radio/lg/radio31977_1607423966.jpeg,https://sensacaofm.com.br/,,,
SpaceSex 93.1,Nacionais • Pop,Brasil,Espírito Santo,"eletronic,flashback,música pop",https://8846.brasilstream.com.br/stream,https://hfnews.com.br/wp-content/uploads/2026/02/Untitled-1.png,https://hfnews.com.br/spacesex/,,,
Super Hits 94,Nacionais • Pop,Brasil,,Pop,https://s03.svrdedicado.org:6858/stream,,https://player.svrdedicado.org/one-page/6858,,,
Só Se For Dance,Nacionais • Pop,Brasil,Rio Grande do Sul,Pop,http://stream-156.zeno.fm/u0vqwmqxcf9uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ1MHZxd21xeGNmOXV2IiwiaG9zdCI6InN0cmVhbS0xNTYuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiQ3pMaks4VGZUUEtEVnF3T3lQQkhDQSIsImlhdCI6MTc2ODQzOTgyNywiZXhwIjoxNzY4NDM5ODg3fQ.7mdxtDLKYUm91-awl848LCwXKsI1CdktQZVUXBIUl4k,,https://zeno.fm/radio/bk4zsmqxcf9uv/,,,
